query,complexity,task_type,domain,has_code,is_math,optimal_model,rationale
Translate 'The quick brown fox jumps over the lazy dog' into Spanish.,1,translation,general,0,0,gemini-flash,A straightforward text translation task with low complexity.
Summarize the key findings of the latest IPCC report on climate change in 150 words.,3,summarization,science,0,0,gpt-4o,"Requires understanding complex scientific text and condensing it accurately, suitable for a highly capable model."
Explain the concept of quantum entanglement to a high school student.,4,qa,science,0,0,gpt-4o,"Demands clear explanation of a complex scientific topic, requiring deep understanding and pedagogical skill."
Write a Python function to calculate the Nth Fibonacci number using recursion.,2,code,tech,1,0,gemini-flash,A common coding problem that is directly implementable with clear requirements.
Debug the following C++ code snippet which causes a segmentation fault: `int main() { int* ptr = nullptr; *ptr = 10; return 0; }`,2,debugging,tech,1,0,gemini-flash,Involves identifying and correcting a clear error in a provided code snippet.
"If all 'flumph' are 'glorp' and some 'glorp' are 'snirk', what can be inferred about 'flumph' and 'snirk'?",3,reasoning,general,0,0,gpt-4o,"Requires logical deduction from abstract premises, best handled by a model strong in reasoning."
"Write a short poem about a lonely astronaut discovering a new planet, in the style of haiku.",3,creative,general,0,0,gpt-4o,"Demands creative writing within specific constraints, leveraging advanced language generation capabilities."
"Analyze the sentiment of the following customer review: 'This product was absolutely terrible, it broke after one day and their support was useless.'",2,analysis,tech,0,0,gemini-flash,A standard natural language processing task for sentiment classification.
What is the capital of France?,1,qa,general,0,0,o3-mini,A very simple factual question that requires minimal processing power.
List three common symptoms of influenza and how it differs from the common cold.,2,qa,medical,0,0,gemini-flash,Requires factual recall and simple comparative explanation.
Explain the concept of compound interest with an example calculation for $1000 invested at 5% annually for 3 years.,3,qa,finance,0,1,gpt-4o,Involves explaining a financial concept and performing a multi-step mathematical calculation.
"Translate the following legal contract clause into plain English for a non-lawyer: 'Notwithstanding anything to the contrary herein, the Parties shall indemnify and hold harmless each other from and against any and all claims, damages, liabilities, losses, costs, and expenses.'",4,translation,legal,0,0,gpt-4o,"Requires translating complex legal jargon into simpler terms, which demands nuanced understanding."
Summarize the landmark Supreme Court case *Roe v. Wade* and its historical impact in 200 words.,4,summarization,legal,0,0,gpt-4o,"Requires summarizing complex legal history and its impact accurately, a task for advanced models."
"Given a dataset of student grades, calculate the average score and standard deviation, then identify any outliers more than 2 standard deviations from the mean.",4,analysis,education,0,1,gpt-4o,"Involves multi-step mathematical and statistical analysis, requiring robust analytical capabilities."
"Create a lesson plan for teaching basic algebra to 7th graders, including examples and a short quiz.",4,creative,education,0,1,gpt-4o,"Requires creative generation of educational content, including mathematical elements and structured planning."
Generate 5 unique marketing taglines for a new brand of eco-friendly cleaning products.,2,creative,general,0,0,gemini-flash,A straightforward creative generation task requiring diverse output.
How can I sort an array of objects in JavaScript by a specific property in ascending order?,2,code,tech,1,0,gemini-flash,A common programming query that requires providing a code example and explanation.
"Identify the logical fallacy in the following argument: 'My doctor smoked his whole life and lived to be 90, so smoking isn't bad for you.'",3,reasoning,medical,0,0,gpt-4o,"Involves identifying and explaining a specific logical error, requiring strong reasoning capabilities."
Rewrite the following SQL query to be more efficient for large databases: `SELECT * FROM Orders WHERE CustomerID IN (SELECT CustomerID FROM Customers WHERE Region = 'East');`,3,debugging,finance,1,0,gemini-flash,"Requires optimizing existing code for performance, a common task for code-focused models."
What are the ethical implications of using AI in healthcare diagnostics?,5,analysis,medical,0,0,o3-mini,A complex open-ended question requiring nuanced ethical reasoning and in-depth analysis.
Summarize the plot of Shakespeare's 'Hamlet' in less than 100 words.,2,summarization,education,0,0,gemini-flash,A straightforward text summarization task for a well-known literary work.
"Explain the process of photosynthesis, including its chemical equation, for a middle school science class.",3,reasoning,science,0,0,gemini-flash,Requires explaining a scientific process and recalling a chemical equation clearly.
List the essential components of a robust cybersecurity framework for small businesses.,4,debugging,legal,0,0,o3-mini,"Requires outlining complex security concepts, fitting a problem-solving/debugging context in a legal/compliance domain."
How can I represent a directed acyclic graph (DAG) using an adjacency list in Python? Provide code.,3,code,science,1,0,o3-mini,A specific coding query that needs both explanation and a functional code example for graph representation.
Translate a short passage on financial market trends from English to simplified Chinese.,3,translation,finance,0,0,o3-mini,"A moderately complex translation task involving specialized financial terminology, suitable for a general-purpose model."
"Translate ""The quick brown fox jumps over the lazy dog"" into Spanish.",1,translation,general,0,0,gemini-flash,"Simple, low-complexity language translation task."
"Summarize the key findings of the latest research paper on CRISPR gene editing for a non-specialist audience, focusing on ethical implications.",4,summarization,science,0,0,gpt-4o,Requires nuanced understanding and simplification of complex scientific information for a broad audience.
Who was the first person to walk on the moon?,1,qa,general,0,0,o3-mini,Straightforward factual recall question.
Write a Python function that takes a list of numbers and returns their sum.,2,code,tech,1,0,gemini-flash,"Basic code generation task, suitable for a fast model."
"This JavaScript code for fetching data from an API is giving a `TypeError: Failed to fetch`. What are common causes for this error and how can I fix it?
javascript
async function fetchData() {
  const response = await fetch('/api/data');
  const data = await response.json();
  console.log(data);
}
fetchData();",3,debugging,tech,1,0,gpt-4o,Requires analyzing code and common web development issues for debugging.
"If all birds can fly, and a penguin is a bird, can a penguin fly? Explain your reasoning.",2,reasoning,education,0,0,o3-mini,Simple logical deduction based on provided premises.
Write a short haiku about autumn leaves.,1,creative,general,0,0,gemini-flash,A simple creative writing task following a specific format.
